"","id","name","url","age","repo_id_lind","repo_id_GHT","is_valid","is_treatment","language","user_type","commercial_involvement","is_fwd_self","is_fwd_truong","num_bugs","num_classifier_bugs","num_contributors","num_commits","num_desdocs","num_issues","num_raw_issues","num_issues_classifier","num_PRs","num_forks","num_issuelinks","project_id","architecture","community","continuous_integration","documentation","history","license","management","project_size","repository_size","state","stars","unit_test","score","has_sequence"
"162",297,"gocd/gocd","https://www.github.com/gocd/gocd",1701,12299,8204377,1,1,"Java","ORG",0.290598,0,1,72,47,120,7216,3,2166,1427,1225,3150,686,3025,8204377,0.991315789473684,0,0,0.152018845185175,0,1,0,322502,666319,"dormant",4524,0.518458800255502,0,0
"172",322,"imixs/imixs-workflow","https://www.github.com/imixs/imixs-workflow",1666,13297,7368207,1,1,"Java","ORG",0.333333,0,1,190,55,3,994,2,400,69,225,5,27,575,7368207,0.972350230414747,0,1,0.290751791679753,0,1,0,27053,49680,"dormant",120,0.257494547739622,0,0
"174",325,"infinidb/infinidb","https://www.github.com/infinidb/infinidb",1212,13324,5821907,1,1,"C++","USR",0.166667,1,-1,0,0,4,57,9,52,52,40,2,64,21,5821907,0.774061433447099,0,0,0,0,1,0,0,0,"dormant",222,0,0,0
"184",350,"kamilfb/mqtt-spy","https://www.github.com/kamilfb/mqtt-spy",598,14753,17476348,1,1,"Java","USR",0.4,0,-1,23,7,5,347,1,124,35,83,2,45,24,17476348,0.958441558441558,0,0,0.274434404745482,0,1,0,38797,42077,"dormant",328,0.0271154986210274,0,0
"185",352,"kermitt2/grobid","https://www.github.com/kermitt2/grobid",2141,14908,3844185,1,1,"Java","USR",0.222222,1,-1,109,18,31,1360,4,260,195,197,80,146,119,3844185,0.980306345733042,0,1,0.0296218069129091,0,1,0,59072,672606,"dormant",654,0.107512865655471,0,0
"188",356,"kite-sdk/kite","https://www.github.com/kite-sdk/kite",1662,15030,6717841,1,1,"Java","ORG",0.619048,-1,-1,3,0,56,2496,0,40,40,22,445,193,119,6717841,0.983717774762551,0,1,0.122948294047238,0,1,0,88703,296026,"dormant",342,0.414901412579056,0,0
"203",383,"longkerdandy/mithqtt","https://www.github.com/longkerdandy/mithqtt",460,15807,23721553,1,1,"Java","USR",0.5,1,1,33,2,4,275,3,56,6,27,1,0,51,23721553,0.979381443298969,0,1,0.237687921202696,0,1,0,5565,5882,"dormant",37,0.156693620844564,0,0
"204",387,"lviggiano/owner","https://www.github.com/lviggiano/owner",1942,16013,1889369,1,1,"Java","USR",0.12,-1,-1,26,6,23,910,0,180,92,107,61,149,68,1889369,0.952380952380952,0,1,0.221227357256009,0,1,0,8585,11307,"dormant",634,0.593476994758299,0,0
"206",389,"lycis/QtDropbox","https://www.github.com/lycis/QtDropbox",1391,16029,1979405,1,1,"C++","USR",0.0909091,1,-1,29,15,9,183,2,40,33,32,14,43,40,1979405,0.875,0,1,0.214470893235918,0,1,0,3261,3333,"dormant",98,0,0,0
"212",402,"mbeddr/mbeddr.core","https://www.github.com/mbeddr/mbeddr.core",2395,16613,41192,1,1,"Java","ORG",0.353846,0,1,700,214,93,20345,1,1748,951,1250,265,59,917,41192,0.844827586206897,0,0,0.000683395788706512,0,1,0,5108,2816353,"dormant",161,0,0,0
"231",455,"pipelka/roboTV","https://www.github.com/pipelka/roboTV",1064,18778,22135669,1,1,"C++","USR",0.4,1,-1,26,7,3,701,4,48,39,34,4,27,12,22135669,0.416666666666667,0,1,0.415585404870122,0,1,0,11236,23016,"dormant",52,0.0574047703809185,0,0
"234",461,"plt-tud/r43ples","https://www.github.com/plt-tud/r43ples",1632,18846,8396691,1,1,"Java","ORG",0.111111,0,-1,83,15,21,1195,3,57,38,39,33,11,56,8396691,0.956896551724138,0,1,0.254355636905972,0,1,0,9250,32997,"dormant",14,0.21827027027027,0,1
"241",475,"rbei-etas/busmaster","https://www.github.com/rbei-etas/busmaster",2256,19453,116028,1,1,"C++","ORG",0,-1,-1,0,0,13,1120,0,1157,304,819,22,225,29,116028,0.75,0,0,0.364697800582026,0,1,0,262584,270046,"dormant",402,0.0117105383420163,0,0
