"","id","name","url","age","repo_id_lind","repo_id_GHT","is_valid","is_treatment","language","user_type","commercial_involvement","is_fwd_self","is_fwd_truong","num_bugs","num_classifier_bugs","num_contributors","num_commits","num_desdocs","num_issues","num_raw_issues","num_issues_classifier","num_PRs","num_forks","num_issuelinks","project_id","architecture","community","continuous_integration","documentation","history","license","management","project_size","repository_size","state","stars","unit_test","score","has_sequence"
"500",2003,"kbastani/spring-cloud-microservice-example","https://www.github.com/kbastani/spring-cloud-microservice-example",540,NA,20243290,1,0,"Java","USR",0.625,1,-1,1,2,8,29,0,49,46,38,0,0,10,20243290,0.888888888888889,0,0,0.0591966173361522,0,1,0,1100,2225,"dormant",2532,0.0127272727272727,0,0
"502",2007,"leekelleher/umbraco-doc-type-grid-editor","https://www.github.com/leekelleher/umbraco-doc-type-grid-editor",1253,NA,16816343,1,0,"C#","USR",0.0434783,1,-1,24,5,20,228,0,75,23,54,15,14,54,16816343,0.904761904761905,0,1,0.0156808486106307,0,1,0,1265,8537,"dormant",31,0,0,0
"506",2013,"malmstein/fenster","https://www.github.com/malmstein/fenster",524,NA,11068757,1,0,"Java","USR",0,1,-1,0,0,4,108,0,31,27,19,11,69,10,11068757,0.84,0,1,0.0768980123818833,0,1,0,2180,2833,"dormant",415,0,0,0
"510",2040,"openitg/openitg","https://www.github.com/openitg/openitg",2692,NA,122385,1,0,"C++","ORG",0.08,1,-1,0,0,16,542,0,42,30,29,71,68,63,122385,0.876112251882272,0,0,0,0,1,0,0,0,"dormant",124,0,0,0
"517",2084,"walkmod/walkmod-core","https://www.github.com/walkmod/walkmod-core",1551,NA,7166257,1,0,"Java","ORG",0.142857,1,-1,19,1,9,249,0,52,50,24,24,5,27,7166257,0.948979591836735,0,1,0.161291836830493,0,1,0,16647,17867,"dormant",135,0.176007689073106,0,0
"521",2098,"01org/thermal_daemon","https://www.github.com/01org/thermal_daemon",2145,NA,3293513,1,0,"C++","ORG",0.55814,1,-1,0,0,43,573,0,99,99,78,56,40,53,3293513,0.978021978021978,0,0,0.30279824580931,0,1,0,30032,31319,"dormant",206,0,0,0
"533",2111,"Homegear/Homegear","https://www.github.com/Homegear/Homegear",1950,NA,9945870,1,0,"C++","ORG",0.111111,1,-1,10,4,9,1190,0,293,101,177,9,23,20,9945870,0.980769230769231,0,0,0.0679904421048238,0,1,0,49877,89321,"dormant",103,0,0,0
"545",2124,"Meridian59/Meridian59","https://www.github.com/Meridian59/Meridian59",2197,NA,833364,1,0,"C++","USR",0.0689655,1,-1,0,0,29,561,0,48,35,36,312,106,104,833364,0.786008230452675,0,0,0,0,1,0,0,0,"dormant",220,0,0,0
"551",2132,"OpenRTMFP/Cumulus","https://www.github.com/OpenRTMFP/Cumulus",1894,NA,196311,1,0,"C++","ORG",0,1,-1,0,0,8,286,0,113,113,79,4,170,3,196311,0.988700564971751,0,0,0.170551050379925,0,1,0,12943,12990,"dormant",595,0,0,0
"574",2164,"bwilcox-1234/ChatScript","https://www.github.com/bwilcox-1234/ChatScript",768,NA,30356419,1,0,"C++","USR",0.047619,1,-1,0,0,21,592,0,142,142,94,94,288,89,30356419,0.352601156069364,0,0,0,0,1,0,0,0,"dormant",778,0,0,0
"594",2188,"ericniebler/range-v3","https://www.github.com/ericniebler/range-v3",1816,NA,6357343,1,0,"C++","USR",0.0923077,1,-1,355,84,65,1626,0,463,407,345,478,225,557,6357343,0.907172995780591,0,1,0.143978569143832,0,1,0,62738,64229,"dormant",1939,0,0,0
"621",2229,"lvandeve/lodepng","https://www.github.com/lvandeve/lodepng",1528,NA,11587998,1,0,"C++","USR",0.0625,1,-1,0,0,16,114,0,44,44,23,36,201,12,11587998,1,0,0,0.213629943502825,0,1,0,10965,11135,"dormant",822,0,0,0
"623",2231,"lysevi/dariadb","https://www.github.com/lysevi/dariadb",454,NA,33696126,1,0,"C++","USR",0.142857,1,-1,5,2,7,2759,0,334,11,248,58,4,227,33696126,0.809701492537313,0,1,0.283376307665705,0,1,0,30491,140909,"dormant",18,0.170476534059231,0,0
"643",2254,"paboyle/Grid","https://www.github.com/paboyle/Grid",1345,NA,17023906,1,0,"C++","USR",0.0980392,1,-1,0,0,51,4079,0,99,68,76,79,40,66,17023906,0.943478260869565,0,1,0,0,1,0,0,0,"dormant",62,0,0,0
"646",2259,"piccolo-dev/android_device_bq_piccolo","https://www.github.com/piccolo-dev/android_device_bq_piccolo",520,NA,23185643,1,0,"C++","ORG",0.589744,1,-1,0,0,39,175,0,82,31,69,5,8,2,23185643,0.8125,0,0,0.273178361469176,0,1,0,9485,13476,"dormant",22,0,0,0
"652",2266,"readium/readium-sdk","https://www.github.com/readium/readium-sdk",1912,NA,2723225,1,0,"C++","USR",0.311111,1,-1,24,3,45,957,0,209,123,134,107,137,68,2723225,0.921921921921922,0,0,0.374130696323249,0,1,0,113369,255948,"dormant",315,0.0854025350845469,0,0
"665",2280,"tmolteno/necpp","https://www.github.com/tmolteno/necpp",2225,NA,1244316,1,0,"C++","USR",0.125,1,-1,5,6,16,270,0,46,41,36,10,24,20,1244316,0.95,0,0,0.146724907273172,0,1,0,24778,45320,"dormant",97,0.3838485753491,0,0
"666",2281,"tomahawk-player/tomahawk","https://www.github.com/tomahawk-player/tomahawk",2935,NA,3805,1,0,"C++","ORG",0.170732,1,-1,6,4,123,11388,0,282,227,197,369,462,273,3805,0.967307692307692,0,0,0.177890101748789,0,1,0,114747,137599,"dormant",2485,0,40,0
"673",2288,"vkohaupt/vokoscreen","https://www.github.com/vkohaupt/vokoscreen",2043,NA,1919087,1,0,"C++","USR",0.222222,1,-1,3,1,18,1097,0,182,151,116,44,75,29,1919087,0.972602739726027,0,0,0.132166458296124,0,1,0,9265,9718,"dormant",450,0,0,0
"676",2291,"xenon-tech/Quirky","https://www.github.com/xenon-tech/Quirky",1813,NA,80553534,1,0,"C++","ORG",0.125,1,-1,0,0,16,957,0,143,6,94,0,0,20,80553534,0.881915073591609,0,1,0,0,1,0,0,0,"dormant",20,0,0,0
"679",2294,"Alex-the-666/Ice_and_Fire","https://www.github.com/Alex-the-666/Ice_and_Fire",1164,NA,26141539,1,0,"Java","USR",0.0454545,1,-1,174,137,22,1064,0,986,817,725,131,42,302,26141539,0.98921832884097,0,0,0.0150361866733217,0,0,0,47174,47361,"dormant",39,0,0,0
"687",2305,"EXTER7/Foundry","https://www.github.com/EXTER7/Foundry",1353,NA,4975017,1,0,"Java","USR",0.0833333,1,-1,43,12,12,753,0,68,67,46,17,18,36,4975017,0.942307692307692,0,0,0.0476708919822692,0,1,0,24239,24492,"dormant",14,0,0,0
"688",2306,"HaarigerHarald/android-youtubeExtractor","https://www.github.com/HaarigerHarald/android-youtubeExtractor",1445,NA,12423762,1,0,"Java","USR",0.333333,1,-1,2,2,6,111,0,62,62,40,7,125,5,12423762,0.818181818181818,0,0,0.0552268244575937,0,1,0,1564,1916,"dormant",296,0.00575447570332481,0,0
"690",2309,"MrQweex/NitroDroid","https://www.github.com/MrQweex/NitroDroid",420,NA,1840658,1,0,"Java","USR",0,1,-1,0,0,4,91,0,39,23,19,0,0,1,1840658,1,0,0,0.193513829372809,0,1,0,3838,8281,"dormant",10,0,0,0
"701",2321,"alaisi/postgres-async-driver","https://www.github.com/alaisi/postgres-async-driver",1690,NA,11926662,1,0,"Java","USR",0.333333,1,-1,14,2,15,142,0,39,36,22,24,44,23,11926662,1,0,0,0.266979362101313,0,1,0,3814,3907,"dormant",255,0.318563188253802,0,0
"708",2328,"b3dgs/lionengine","https://www.github.com/b3dgs/lionengine",1948,NA,19484754,1,0,"Java","ORG",0.25,1,-1,0,0,4,2295,0,511,4,246,7,10,16,19484754,0.931844888366627,0,1,0.410876682429975,0,1,0,59963,61541,"dormant",53,0.388622984173574,0,0
"710",2331,"catify/bpmn-engine","https://www.github.com/catify/bpmn-engine",74,NA,1927744,1,0,"Java","USR",0,1,-1,15,8,5,154,0,36,14,24,0,9,17,1927744,0.943217665615142,0,0,0.490976050999311,0,1,0,15213,23635,"dormant",19,0.104844540853218,0,0
"711",2332,"chariotsolutions/phonegap-nfc","https://www.github.com/chariotsolutions/phonegap-nfc",2552,NA,56040,1,0,"Java","ORG",0.26087,1,-1,44,27,23,510,0,281,281,183,73,238,110,56040,1,0,0,0.119850187265918,0,1,0,1221,2820,"dormant",486,0,0,0
"715",2337,"d-max/spots-dialog","https://www.github.com/d-max/spots-dialog",1244,NA,15091968,1,0,"Java","USR",0.25,1,-1,2,4,8,69,0,38,38,28,6,188,8,15091968,0.857142857142857,0,0,0.077834179357022,0,1,0,277,545,"dormant",849,0,0,0
"719",2342,"dotCMS/core","https://www.github.com/dotCMS/core",2442,NA,11743172,1,0,"Java","ORG",0.383333,1,-1,436,62,120,15621,0,9337,1819,5861,3916,304,10050,11743172,0.983973473335175,0,0,0.188683491444757,0,1,0,412291,1168054,"dormant",430,0.146682804135914,0,0
"721",2344,"eclipse/packagedrone","https://www.github.com/eclipse/packagedrone",1014,NA,28318894,1,0,"Java","ORG",0.333333,1,-1,5,1,18,609,0,102,51,57,31,31,26,28318894,0.95487106017192,0,1,0.208843912616004,0,1,0,104968,131968,"dormant",53,0.0481289535858547,0,0
"722",2345,"elytra/MovingWorld","https://www.github.com/elytra/MovingWorld",1168,NA,36509727,1,0,"Java","ORG",0.25,1,-1,69,8,4,350,0,52,40,42,4,8,19,36509727,0.951612903225806,0,1,0.04400800145481,0,1,0,5054,5257,"dormant",18,0,0,0
"725",2348,"eu-emi/canl-java","https://www.github.com/eu-emi/canl-java",2262,NA,53196,1,0,"Java","ORG",0.25,1,-1,0,0,8,316,0,88,7,56,7,6,28,53196,0.88780487804878,0,0,0.251594408297365,0,1,0,22374,23235,"dormant",10,0.233261821757397,0,0
"728",2351,"fhermeni/btrplace-solver","https://www.github.com/fhermeni/btrplace-solver",2193,NA,2884162,1,0,"Java","USR",0.266667,1,-1,18,7,15,2599,0,167,85,116,6,3,135,2884162,0.94811320754717,0,1,0.362193747045061,0,1,0,49705,52612,"dormant",46,0.363907051604466,0,0
"730",2353,"floatinghotpot/cordova-plugin-sms","https://www.github.com/floatinghotpot/cordova-plugin-sms",429,NA,4699865,1,0,"Java","USR",0.2,1,-1,1,1,5,25,0,78,78,48,4,118,3,4699865,0,0,0,0.173413691153059,0,0,0,456,7269,"dormant",153,0,0,0
"731",2355,"ftomassetti/turin-programming-language","https://www.github.com/ftomassetti/turin-programming-language",61,NA,24998819,1,0,"Java","USR",0,1,-1,1,1,2,482,0,76,70,34,16,6,17,24998819,0.992452830188679,0,1,0.0430163132903954,0,1,0,19145,20356,"dormant",59,0.277774875946722,0,0
"733",2359,"horrorho/InflatableDonkey","https://www.github.com/horrorho/InflatableDonkey",1065,NA,27758054,1,0,"Java","USR",0.125,1,-1,14,5,8,683,0,85,33,54,5,77,10,27758054,0.989399293286219,0,0,0.220731616552545,0,1,0,83589,83762,"dormant",197,0.0144038091136394,0,0
"735",2361,"jahirfiquitiva/IconShowcase","https://www.github.com/jahirfiquitiva/IconShowcase",771,NA,31931828,1,0,"Java","USR",0.105263,1,-1,97,17,19,668,0,147,129,87,6,39,37,31931828,0.982456140350877,0,1,0.238854791933635,0,1,0,14418,22571,"dormant",88,0,0,0
"736",2362,"japacible/DashTricks-Pakistan","https://www.github.com/japacible/DashTricks-Pakistan",70,NA,8921170,1,0,"Java","USR",0,1,-1,0,0,6,220,0,114,33,70,1,4,2,8921170,0.952380952380952,0,0,0.101868764929043,0,0,0,3560,6392,"dormant",11,0,0,0
"737",2363,"jenkinsci/mesos-plugin","https://www.github.com/jenkinsci/mesos-plugin",1879,NA,4825441,1,0,"Java","ORG",0.492958,1,-1,28,8,71,406,0,175,175,105,162,145,139,4825441,0.964285714285714,0,0,0.111534069280548,0,1,0,4221,4668,"dormant",280,0.203743188817816,0,0
"741",2367,"libreliodev/android","https://www.github.com/libreliodev/android",1945,NA,2318904,1,0,"Java","USR",0.0416667,1,-1,193,42,24,680,0,325,271,193,7,130,125,2318904,0.982905982905983,0,0,0.200021992522542,0,1,0,12042,14550,"dormant",209,0,0,0
"744",2374,"myui/hivemall","https://www.github.com/myui/hivemall",1162,NA,5483983,1,0,"Java","USR",0.130435,1,-1,0,0,23,1668,0,102,3,44,279,114,236,5483983,0,0,0,0,0,1,0,0,0,"dormant",508,0,0,0
"745",2375,"nhl/link-move","https://www.github.com/nhl/link-move",1504,NA,11367936,1,0,"Java","USR",0.111111,1,-1,206,41,9,431,0,132,107,58,5,1,201,11367936,0.955172413793103,0,1,0.0840935592290281,0,1,0,11788,13353,"dormant",24,0.342551747539871,0,0
"747",2377,"one-signal/OneSignal-Android-SDK","https://www.github.com/one-signal/OneSignal-Android-SDK",1305,NA,18444483,1,0,"Java","ORG",0.238095,1,-1,5,1,21,515,0,510,271,383,13,7,114,18444483,0.975609756097561,0,1,0.221261884183233,0,1,0,16653,18020,"dormant",323,0.220801056866631,0,0
"748",2378,"opennetworkinglab/flowvisor","https://www.github.com/opennetworkinglab/flowvisor",351,NA,805784,1,0,"Java","ORG",0,1,-1,8,5,8,803,0,186,109,118,105,64,56,805784,0.995967741935484,0,0,0.184981494932725,0,1,0,20671,23563,"dormant",132,0.0273813555222292,0,0
"751",2381,"pmwisdom/cordova-background-geolocation-services","https://www.github.com/pmwisdom/cordova-background-geolocation-services",826,NA,27801381,1,0,"Java","USR",0.1,1,-1,0,0,10,107,0,94,88,55,0,0,9,27801381,1,0,0,0.0977713874910137,0,1,0,951,1255,"dormant",130,0,0,0
"754",2384,"rundeck-plugins/rundeck-winrm-plugin","https://www.github.com/rundeck-plugins/rundeck-winrm-plugin",2198,NA,5823817,1,0,"Java","ORG",0.428571,1,-1,9,2,14,114,0,46,43,27,13,20,20,5823817,0.75,0,1,0.0742534301856336,0,1,0,809,1147,"dormant",52,0,0,0
"755",2385,"ryantenney/passkit4j","https://www.github.com/ryantenney/passkit4j",1192,NA,1664440,1,0,"Java","USR",0,1,-1,2,1,5,79,0,42,40,27,6,36,7,1664440,1,0,1,0.0843039378813089,0,1,0,1273,1651,"dormant",63,0,0,0
"758",2388,"sirthias/pegdown","https://www.github.com/sirthias/pegdown",2463,NA,33508,1,0,"Java","USR",0.129032,1,-1,54,37,31,280,0,198,175,116,51,232,95,33508,0.984126984126984,0,0,0.15091693635383,0,1,0,3141,7871,"dormant",1235,0,0,0
"760",2391,"stleary/JSON-java","https://www.github.com/stleary/JSON-java",2846,NA,49257,1,0,"Java","USR",0.108108,1,-1,34,8,37,332,0,239,239,150,110,402,91,49257,0.952380952380952,0,0,0.506560636182903,0,1,0,3723,3723,"dormant",3105,0,0,0
"764",2398,"vert-x3/vertx-hazelcast","https://www.github.com/vert-x3/vertx-hazelcast",1466,NA,13556037,1,0,"Java","ORG",0.125,1,-1,28,12,24,276,0,52,46,37,53,55,60,13556037,0.95,0,1,0.253532391362303,0,1,0,2336,2800,"dormant",43,0.389554794520548,0,0
"765",2399,"wdullaer/MaterialDateTimePicker","https://www.github.com/wdullaer/MaterialDateTimePicker",1424,NA,14707585,1,0,"Java","USR",0.205128,1,-1,79,50,39,421,0,466,309,282,86,800,155,14707585,0.91304347826087,0,1,0.223724560914413,0,1,0,8207,11138,"dormant",3806,0.2262702570976,0,0
"766",2401,"windy1/google-places-api-java","https://www.github.com/windy1/google-places-api-java",867,NA,7930471,1,0,"Java","USR",0.153846,1,-1,2,3,13,133,0,42,42,27,22,73,19,7930471,0.851851851851852,0,1,0.415764139590854,0,1,0,1717,1942,"dormant",171,0.0716365754222481,0,0
"767",2402,"wnafee/vector-compat","https://www.github.com/wnafee/vector-compat",28,NA,18520035,1,0,"Java","USR",0,1,-1,1,1,3,84,0,37,36,26,12,130,4,18520035,0.733333333333333,0,0,0.169854950599117,0,1,0,3233,3949,"dormant",1243,0,0,0
"768",2403,"xSAVIKx/AndroidScreencast","https://www.github.com/xSAVIKx/AndroidScreencast",1534,NA,11482454,1,0,"Java","USR",0.357143,1,-1,17,3,14,138,0,39,22,24,12,96,14,11482454,0.962025316455696,0,1,0.278504967670714,0,1,0,4100,4575,"dormant",376,0,0,0
"770",2405,"y20k/transistor","https://www.github.com/y20k/transistor",1148,NA,26969533,1,0,"Java","USR",0.26,1,-1,98,27,50,842,0,157,102,94,48,71,122,26969533,0.972222222222222,0,0,0.200543724512913,0,1,0,4921,8822,"dormant",135,0,0,0
"771",2406,"yegor256/s3auth","https://www.github.com/yegor256/s3auth",2066,NA,507985,1,0,"Java","USR",0.136364,1,-1,213,43,22,1015,0,282,147,196,88,49,198,507985,0.914285714285714,0,1,0.37486378496186,0,1,0,8155,10326,"dormant",220,0.364561618638872,0,0
